Status,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Tuition_fees_up_to_date,Scholarship_holder,Age_at_enrollment,Application_mode,Debtor,Gender,Course,Curricular_units_2nd_sem_enrolled,Mothers_qualification,Admission_grade,Displaced,Curricular_units_2nd_sem_evaluations,Marital_status,Previous_qualification_grade,Mothers_occupation,Curricular_units_2nd_sem_without_evaluations,GDP,Age_grouped,Admission_grade_grouped,Curricular_units_2nd_sem_grade_grouped,Previous_qualification_grade_grouped
Graduate,5,11.0,1,1,21,53 - Short cycle diploma holders,0,0,9254 - Tourism,6,1 - Secondary Education - 12th Year of Schooling or Eq.,111.8,1,8,1 – single,110.0,4 - Administrative staff,0,3.51,21-25,111-120,9-12,111-120
Graduate,5,12.0,1,1,18,1 - 1st phase - general contingent,0,0,9085 - Veterinary Nursing,5,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,137.1,1,5,1 – single,149.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,1.74,17-20,131-140,12-15,141-150
Dropout,0,0.0,1,0,20,1 - 1st phase - general contingent,0,0,9773 - Journalism and Communication,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,120.7,1,7,1 – single,127.0,9 - Unskilled Workers,0,-4.06,17-20,121-130,0-3,121-130
Enrolled,2,11.0,1,0,18,18 - 3rd phase - general contingent,0,0,9238 - Social Service,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,137.4,1,14,1 – single,137.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,1.74,17-20,131-140,9-12,131-140
Graduate,8,14.545,1,0,18,17 - 2nd phase - general contingent,0,0,9500 - Nursing,8,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,127.3,1,8,1 – single,135.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,-4.06,17-20,121-130,12-15,131-140
Graduate,4,12.25,1,0,20,1 - 1st phase - general contingent,0,0,9130 - Equinculture,5,3 - Higher Education - Degree,136.3,1,8,1 – single,137.0,3 - Intermediate Level Technicians and Professions,2,1.74,17-20,131-140,12-15,131-140
Enrolled,6,13.5,1,0,18,1 - 1st phase - general contingent,0,0,9853 - Basic Education,7,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,124.6,1,8,1 – single,140.0,"7 - Skilled Workers in Industry, Construction and Craftsmen",0,-0.92,17-20,121-130,12-15,141-150
Graduate,0,0.0,1,1,21,1 - 1st phase - general contingent,0,0,171 - Animation and Multimedia Design,0,1 - Secondary Education - 12th Year of Schooling or Eq.,120.3,0,0,1 – single,122.0,9 - Unskilled Workers,0,2.02,21-25,121-130,0-3,121-130
Enrolled,8,11.425,1,0,20,18 - 3rd phase - general contingent,0,0,9556 - Oral Hygiene,8,1 - Secondary Education - 12th Year of Schooling or Eq.,121.8,1,9,1 – single,127.0,4 - Administrative staff,0,-1.7,17-20,121-130,9-12,121-130
Graduate,7,12.857142857142858,1,0,18,1 - 1st phase - general contingent,0,0,9500 - Nursing,8,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,125.5,1,12,1 – single,142.0,"1 - Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",0,-1.7,17-20,121-130,12-15,141-150
Graduate,6,12.285714285714286,1,1,19,1 - 1st phase - general contingent,0,0,9670 - Advertising and Marketing Management,6,1 - Secondary Education - 12th Year of Schooling or Eq.,114.9,1,7,1 – single,125.0,4 - Administrative staff,0,2.02,17-20,111-120,12-15,121-130
Graduate,7,14.114285714285714,1,0,19,1 - 1st phase - general contingent,0,0,9500 - Nursing,8,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,123.9,0,9,1 – single,126.0,3 - Intermediate Level Technicians and Professions,0,2.02,17-20,121-130,12-15,121-130
Enrolled,4,11.0,1,1,18,1 - 1st phase - general contingent,1,0,9238 - Social Service,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,157.0,1,12,1 – single,151.0,9 - Unskilled Workers,0,0.32,17-20,151-160,9-12,151-160
Graduate,6,13.285714285714286,1,0,21,17 - 2nd phase - general contingent,0,0,9238 - Social Service,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,116.4,1,9,1 – single,115.0,"7 - Skilled Workers in Industry, Construction and Craftsmen",0,-0.92,21-25,111-120,12-15,111-120
Enrolled,4,13.0,1,0,18,1 - 1st phase - general contingent,0,0,9085 - Veterinary Nursing,5,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,131.0,1,7,1 – single,138.0,3 - Intermediate Level Technicians and Professions,0,-3.12,17-20,131-140,12-15,131-140
Graduate,5,12.333333333333334,1,0,20,1 - 1st phase - general contingent,0,0,9147 - Management,5,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,122.1,1,6,1 – single,135.0,9 - Unskilled Workers,0,-0.92,17-20,121-130,12-15,131-140
Enrolled,6,13.716666666666669,1,0,19,17 - 2nd phase - general contingent,0,1,9500 - Nursing,7,3 - Higher Education - Degree,118.8,1,7,1 – single,127.0,"1 - Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",0,-0.92,17-20,111-120,12-15,121-130
Enrolled,5,10.571428571428571,1,0,21,44 - Technological specialization diploma holders,0,1,9003 - Agronomy,6,4 - Higher Education - Master's,150.0,0,17,1 – single,150.0,4 - Administrative staff,0,-0.92,21-25,151-160,9-12,151-160
Graduate,4,13.4,1,0,20,51 - Change of institution/course,0,1,9070 - Communication Design,6,Others,130.0,1,9,1 – single,125.0,Others,0,3.51,17-20,131-140,12-15,121-130
Enrolled,2,13.5,0,0,18,1 - 1st phase - general contingent,0,1,9147 - Management,5,1 - Secondary Education - 12th Year of Schooling or Eq.,138.8,0,8,1 – single,143.0,4 - Administrative staff,0,3.51,17-20,131-140,12-15,141-150
Graduate,6,14.375,1,0,19,18 - 3rd phase - general contingent,0,0,8014 - Social Service (evening attendance),6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,134.5,1,8,1 – single,138.0,9 - Unskilled Workers,0,1.79,17-20,131-140,12-15,131-140
Graduate,5,13.428571428571429,1,0,34,1 - 1st phase - general contingent,0,1,9991 - Management (evening attendance),5,2 - Higher Education - Bachelor's Degree,131.4,0,9,1 – single,130.0,3 - Intermediate Level Technicians and Professions,0,0.79,31-40,131-140,12-15,131-140
Dropout,1,10.0,0,0,37,39 - Over 23 years old,1,1,Others,7,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,102.5,0,7,1 – single,130.0,9 - Unskilled Workers,0,3.51,31-40,101-110,9-12,131-140
Dropout,0,0.0,1,0,43,39 - Over 23 years old,0,1,9119 - Informatics Engineering,5,34 - Unknown,128.8,1,0,1 – single,133.1,0 - Student,0,0.32,41-50,121-130,0-3,131-140
Dropout,2,12.0,1,0,55,43 - Change of course,0,0,9147 - Management,5,37 - Basic education 1st cycle (4th/5th year) or equiv.,122.9,0,8,1 – single,140.0,"6 - Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",2,-0.92,51+,121-130,12-15,141-150
Graduate,5,11.6,1,0,39,39 - Over 23 years old,0,0,9991 - Management (evening attendance),5,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,113.9,1,5,4 – divorced,120.0,9 - Unskilled Workers,0,0.32,31-40,111-120,9-12,121-130
Dropout,3,12.0,0,0,20,44 - Technological specialization diploma holders,1,0,9130 - Equinculture,6,4 - Higher Education - Master's,120.0,0,11,1 – single,120.0,3 - Intermediate Level Technicians and Professions,0,1.79,17-20,121-130,12-15,121-130
Dropout,0,0.0,1,0,18,1 - 1st phase - general contingent,1,0,9773 - Journalism and Communication,5,3 - Higher Education - Degree,121.1,0,5,1 – single,126.0,2 - Specialists in Intellectual and Scientific Activities,0,-1.7,17-20,121-130,0-3,121-130
Graduate,5,15.8,1,0,22,1 - 1st phase - general contingent,0,0,9147 - Management,5,3 - Higher Education - Degree,120.4,1,5,1 – single,133.0,2 - Specialists in Intellectual and Scientific Activities,0,3.51,21-25,121-130,15-18,131-140
Graduate,7,14.342857142857142,1,0,22,1 - 1st phase - general contingent,0,0,9500 - Nursing,8,1 - Secondary Education - 12th Year of Schooling or Eq.,100.6,1,9,1 – single,103.0,2 - Specialists in Intellectual and Scientific Activities,0,2.02,21-25,101-110,12-15,101-110
Dropout,5,13.8,0,0,20,17 - 2nd phase - general contingent,0,0,9773 - Journalism and Communication,6,1 - Secondary Education - 12th Year of Schooling or Eq.,121.4,0,7,1 – single,120.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,1.79,17-20,121-130,12-15,121-130
Dropout,0,0.0,1,0,29,39 - Over 23 years old,0,0,9991 - Management (evening attendance),5,37 - Basic education 1st cycle (4th/5th year) or equiv.,109.7,0,0,1 – single,133.1,9 - Unskilled Workers,0,-0.92,26-30,101-110,0-3,131-140
Enrolled,3,14.333333333333334,1,0,24,17 - 2nd phase - general contingent,0,0,9991 - Management (evening attendance),5,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,134.1,0,11,1 – single,154.0,4 - Administrative staff,1,0.32,21-25,131-140,12-15,151-160
Graduate,5,13.2,1,0,18,17 - 2nd phase - general contingent,0,0,9238 - Social Service,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,127.6,1,8,1 – single,130.0,9 - Unskilled Workers,0,2.02,17-20,121-130,12-15,131-140
Graduate,7,13.771428571428572,1,1,22,17 - 2nd phase - general contingent,0,0,9500 - Nursing,8,37 - Basic education 1st cycle (4th/5th year) or equiv.,132.4,1,9,1 – single,132.0,"7 - Skilled Workers in Industry, Construction and Craftsmen",0,2.02,21-25,131-140,12-15,131-140
Graduate,6,13.285714285714286,1,1,21,44 - Technological specialization diploma holders,0,0,8014 - Social Service (evening attendance),6,1 - Secondary Education - 12th Year of Schooling or Eq.,133.4,0,7,1 – single,130.0,9 - Unskilled Workers,0,1.79,21-25,131-140,12-15,131-140
Graduate,6,12.833333333333334,1,1,19,1 - 1st phase - general contingent,0,0,9238 - Social Service,6,37 - Basic education 1st cycle (4th/5th year) or equiv.,126.1,0,7,1 – single,139.0,9 - Unskilled Workers,0,-1.7,17-20,121-130,12-15,131-140
Graduate,6,14.166666666666666,1,1,24,39 - Over 23 years old,0,0,9254 - Tourism,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,113.5,0,6,1 – single,130.0,9 - Unskilled Workers,0,1.79,21-25,111-120,12-15,131-140
Enrolled,6,11.833333333333334,1,1,19,1 - 1st phase - general contingent,0,0,9500 - Nursing,8,37 - Basic education 1st cycle (4th/5th year) or equiv.,121.3,1,10,1 – single,139.0,"6 - Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",0,-3.12,17-20,121-130,9-12,131-140
Enrolled,3,11.0,1,1,20,1 - 1st phase - general contingent,0,0,9773 - Journalism and Communication,6,1 - Secondary Education - 12th Year of Schooling or Eq.,121.8,1,12,1 – single,127.0,"7 - Skilled Workers in Industry, Construction and Craftsmen",0,-3.12,17-20,121-130,9-12,121-130
Graduate,5,15.8,1,0,19,1 - 1st phase - general contingent,0,0,9130 - Equinculture,5,37 - Basic education 1st cycle (4th/5th year) or equiv.,159.3,0,5,1 – single,167.0,90 - Other Situation,0,0.32,17-20,151-160,15-18,161-170
Dropout,5,11.0,1,0,27,39 - Over 23 years old,0,0,9991 - Management (evening attendance),5,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,120.0,0,10,1 – single,130.0,9 - Unskilled Workers,0,-3.12,26-30,121-130,9-12,131-140
Graduate,8,13.595,1,0,18,1 - 1st phase - general contingent,0,0,9500 - Nursing,8,1 - Secondary Education - 12th Year of Schooling or Eq.,129.1,1,10,1 – single,130.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,-4.06,17-20,121-130,12-15,131-140
Dropout,0,0.0,1,0,39,7 - Holders of other higher courses,0,0,9254 - Tourism,6,1 - Secondary Education - 12th Year of Schooling or Eq.,130.0,0,6,2 – married,130.0,4 - Administrative staff,0,1.79,31-40,131-140,0-3,131-140
Dropout,10,12.9,1,0,27,39 - Over 23 years old,0,0,9130 - Equinculture,11,3 - Higher Education - Degree,155.3,1,13,1 – single,129.0,2 - Specialists in Intellectual and Scientific Activities,0,1.79,26-30,151-160,12-15,121-130
Graduate,8,14.935,1,0,18,17 - 2nd phase - general contingent,0,0,9500 - Nursing,8,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,139.8,1,8,1 – single,141.0,"7 - Skilled Workers in Industry, Construction and Craftsmen",0,-3.12,17-20,131-140,12-15,141-150
Enrolled,0,0.0,1,0,18,1 - 1st phase - general contingent,0,0,171 - Animation and Multimedia Design,0,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,115.2,1,0,1 – single,125.0,4 - Administrative staff,0,0.32,17-20,111-120,0-3,121-130
Graduate,7,12.221428571428572,1,0,18,1 - 1st phase - general contingent,0,0,9500 - Nursing,8,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,114.9,0,12,1 – single,125.0,9 - Unskilled Workers,0,-0.92,17-20,111-120,12-15,121-130
Graduate,6,12.0,1,1,21,44 - Technological specialization diploma holders,0,0,9238 - Social Service,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,131.9,0,7,1 – single,130.0,9 - Unskilled Workers,0,0.79,21-25,131-140,12-15,131-140
Enrolled,0,0.0,1,1,19,17 - 2nd phase - general contingent,0,1,171 - Animation and Multimedia Design,0,1 - Secondary Education - 12th Year of Schooling or Eq.,126.0,1,0,1 – single,133.0,4 - Administrative staff,0,1.74,17-20,121-130,0-3,131-140
Enrolled,1,10.0,1,0,19,17 - 2nd phase - general contingent,0,1,9070 - Communication Design,6,1 - Secondary Education - 12th Year of Schooling or Eq.,130.2,1,8,1 – single,127.0,3 - Intermediate Level Technicians and Professions,0,1.74,17-20,131-140,9-12,121-130
Enrolled,0,0.0,1,0,24,43 - Change of course,0,1,9070 - Communication Design,6,1 - Secondary Education - 12th Year of Schooling or Eq.,120.9,0,6,1 – single,116.0,3 - Intermediate Level Technicians and Professions,0,-1.7,21-25,121-130,0-3,111-120
Dropout,5,11.0,1,0,29,42 - Transfer,0,1,9500 - Nursing,8,1 - Secondary Education - 12th Year of Schooling or Eq.,126.0,1,10,4 – divorced,133.1,"5 - Personal Services, Security and Safety Workers and Sellers",0,0.79,26-30,121-130,9-12,131-140
Graduate,0,0.0,1,1,19,1 - 1st phase - general contingent,0,1,171 - Animation and Multimedia Design,0,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,128.2,1,0,1 – single,139.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,1.74,17-20,121-130,0-3,131-140
Graduate,6,12.428571428571429,1,0,23,44 - Technological specialization diploma holders,0,1,9003 - Agronomy,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,130.0,1,7,1 – single,130.0,9 - Unskilled Workers,0,3.51,21-25,131-140,12-15,131-140
Dropout,4,10.75,1,0,19,1 - 1st phase - general contingent,1,1,9147 - Management,5,1 - Secondary Education - 12th Year of Schooling or Eq.,120.1,0,10,1 – single,125.0,"7 - Skilled Workers in Industry, Construction and Craftsmen",3,-0.92,17-20,121-130,9-12,121-130
Enrolled,5,10.8,1,0,26,39 - Over 23 years old,0,1,9254 - Tourism,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,100.0,0,8,1 – single,160.0,"7 - Skilled Workers in Industry, Construction and Craftsmen",0,-1.7,26-30,101-110,9-12,161-170
Enrolled,0,0.0,1,0,18,17 - 2nd phase - general contingent,0,1,9147 - Management,5,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,134.0,0,5,1 – single,148.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,0.32,17-20,131-140,0-3,141-150
Graduate,8,13.75,1,0,24,17 - 2nd phase - general contingent,0,1,9500 - Nursing,8,37 - Basic education 1st cycle (4th/5th year) or equiv.,130.8,0,8,1 – single,150.0,8 - Installation and Machine Operators and Assembly Workers,0,0.79,21-25,131-140,12-15,151-160
Dropout,0,0.0,1,0,19,1 - 1st phase - general contingent,0,1,171 - Animation and Multimedia Design,0,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,135.8,1,0,1 – single,141.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,-4.06,17-20,131-140,0-3,141-150
Dropout,1,12.0,1,0,18,17 - 2nd phase - general contingent,0,1,9254 - Tourism,6,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,111.7,1,12,1 – single,118.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,1.79,17-20,111-120,12-15,111-120
Graduate,3,12.333333333333334,1,0,18,1 - 1st phase - general contingent,0,1,9773 - Journalism and Communication,6,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,132.9,1,11,1 – single,142.0,9 - Unskilled Workers,0,1.74,17-20,131-140,12-15,141-150
Dropout,3,10.857142857142858,1,0,18,17 - 2nd phase - general contingent,1,1,9147 - Management,5,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,115.5,1,11,1 – single,120.0,4 - Administrative staff,0,1.74,17-20,111-120,9-12,121-130
Dropout,1,11.0,1,1,21,18 - 3rd phase - general contingent,0,1,9254 - Tourism,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,106.0,1,11,1 – single,106.0,"7 - Skilled Workers in Industry, Construction and Craftsmen",0,-3.12,21-25,101-110,9-12,101-110
Graduate,6,13.333333333333334,1,1,19,17 - 2nd phase - general contingent,1,1,9773 - Journalism and Communication,6,1 - Secondary Education - 12th Year of Schooling or Eq.,120.3,1,6,1 – single,121.0,9 - Unskilled Workers,0,3.51,17-20,121-130,12-15,121-130
Graduate,8,15.055555555555555,1,1,22,17 - 2nd phase - general contingent,0,1,9500 - Nursing,8,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,130.8,0,9,1 – single,150.0,9 - Unskilled Workers,0,-0.92,21-25,131-140,15-18,151-160
Graduate,6,11.666666666666666,1,0,33,39 - Over 23 years old,0,1,8014 - Social Service (evening attendance),6,37 - Basic education 1st cycle (4th/5th year) or equiv.,117.0,0,6,2 – married,120.0,9 - Unskilled Workers,0,1.74,31-40,111-120,9-12,121-130
Dropout,5,12.2,1,0,20,1 - 1st phase - general contingent,0,1,9853 - Basic Education,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,110.2,1,7,1 – single,114.0,9 - Unskilled Workers,0,1.74,17-20,111-120,12-15,111-120
Dropout,0,0.0,1,0,35,39 - Over 23 years old,0,1,9991 - Management (evening attendance),5,3 - Higher Education - Degree,155.7,1,0,1 – single,140.0,2 - Specialists in Intellectual and Scientific Activities,0,1.74,31-40,151-160,0-3,141-150
Dropout,10,13.3,1,0,24,39 - Over 23 years old,1,1,9003 - Agronomy,12,3 - Higher Education - Degree,180.4,0,14,1 – single,160.0,4 - Administrative staff,0,1.79,21-25,>170,12-15,161-170
Enrolled,3,11.333333333333334,1,0,18,17 - 2nd phase - general contingent,0,1,9254 - Tourism,5,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,125.5,0,8,1 – single,120.0,4 - Administrative staff,0,-1.7,17-20,121-130,9-12,121-130
Graduate,5,11.0,1,0,33,39 - Over 23 years old,0,0,8014 - Social Service (evening attendance),6,37 - Basic education 1st cycle (4th/5th year) or equiv.,110.0,1,11,2 – married,130.0,9 - Unskilled Workers,0,-3.12,31-40,111-120,9-12,131-140
Graduate,7,13.08,1,1,22,42 - Transfer,0,0,9500 - Nursing,8,37 - Basic education 1st cycle (4th/5th year) or equiv.,161.0,1,8,1 – single,160.0,9 - Unskilled Workers,0,1.74,21-25,161-170,12-15,161-170
Graduate,5,11.6,1,1,25,39 - Over 23 years old,0,0,9670 - Advertising and Marketing Management,5,1 - Secondary Education - 12th Year of Schooling or Eq.,100.0,0,7,1 – single,120.0,4 - Administrative staff,0,-3.12,21-25,101-110,9-12,121-130
Graduate,5,11.2,1,0,20,17 - 2nd phase - general contingent,0,1,9070 - Communication Design,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,117.6,1,6,1 – single,124.0,4 - Administrative staff,0,0.32,17-20,111-120,9-12,121-130
Enrolled,5,13.8,1,0,23,1 - 1st phase - general contingent,0,1,9147 - Management,5,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,128.7,1,5,1 – single,143.0,9 - Unskilled Workers,0,2.02,21-25,121-130,12-15,141-150
Enrolled,0,0.0,1,0,18,43 - Change of course,1,1,9119 - Informatics Engineering,5,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,112.2,1,9,1 – single,115.0,9 - Unskilled Workers,0,-4.06,17-20,111-120,0-3,111-120
Dropout,0,0.0,1,0,24,39 - Over 23 years old,0,1,9500 - Nursing,7,1 - Secondary Education - 12th Year of Schooling or Eq.,100.8,0,7,1 – single,133.1,4 - Administrative staff,0,0.79,21-25,101-110,0-3,131-140
Graduate,6,13.5,0,0,21,17 - 2nd phase - general contingent,0,0,9773 - Journalism and Communication,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,105.0,1,6,1 – single,133.1,9 - Unskilled Workers,0,3.51,21-25,101-110,12-15,131-140
Dropout,0,0.0,1,0,26,15 - International student (bachelor),0,0,9130 - Equinculture,6,1 - Secondary Education - 12th Year of Schooling or Eq.,100.0,0,6,1 – single,133.1,4 - Administrative staff,0,3.51,26-30,101-110,0-3,131-140
Dropout,0,0.0,1,0,39,39 - Over 23 years old,0,0,9853 - Basic Education,6,37 - Basic education 1st cycle (4th/5th year) or equiv.,115.5,0,14,2 – married,133.1,0 - Student,1,0.32,31-40,111-120,0-3,131-140
Graduate,6,12.333333333333334,1,0,44,39 - Over 23 years old,0,0,8014 - Social Service (evening attendance),6,37 - Basic education 1st cycle (4th/5th year) or equiv.,114.0,0,7,2 – married,133.1,9 - Unskilled Workers,0,-1.7,41-50,111-120,12-15,131-140
Enrolled,3,13.25,1,0,19,15 - International student (bachelor),0,1,9119 - Informatics Engineering,5,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,137.0,1,11,1 – single,130.0,9 - Unskilled Workers,0,0.79,17-20,131-140,12-15,131-140
Graduate,6,13.333333333333334,1,0,18,1 - 1st phase - general contingent,0,0,9773 - Journalism and Communication,6,37 - Basic education 1st cycle (4th/5th year) or equiv.,124.9,1,6,1 – single,135.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,3.51,17-20,121-130,12-15,131-140
Graduate,8,14.47777777777778,1,1,18,1 - 1st phase - general contingent,0,0,9500 - Nursing,8,37 - Basic education 1st cycle (4th/5th year) or equiv.,120.3,1,9,1 – single,132.0,"7 - Skilled Workers in Industry, Construction and Craftsmen",0,1.79,17-20,121-130,12-15,131-140
Enrolled,5,13.8,1,0,19,1 - 1st phase - general contingent,0,0,9085 - Veterinary Nursing,5,1 - Secondary Education - 12th Year of Schooling or Eq.,134.3,1,7,1 – single,135.0,9 - Unskilled Workers,0,-1.7,17-20,131-140,12-15,131-140
Dropout,0,0.0,0,0,19,1 - 1st phase - general contingent,1,0,9500 - Nursing,7,3 - Higher Education - Degree,111.5,1,7,1 – single,115.0,2 - Specialists in Intellectual and Scientific Activities,0,0.79,17-20,111-120,0-3,111-120
Dropout,5,13.4,1,0,21,53 - Short cycle diploma holders,0,0,9085 - Veterinary Nursing,9,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,128.8,0,14,1 – single,130.0,9 - Unskilled Workers,0,3.51,21-25,121-130,12-15,131-140
